Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Desengaño,Calle Desengaño nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Glorieta de Cádiz,Calle Antonio López nº 129
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Condesa de Venadito,Calle Condesa de Venadito nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta del Ángel,Plaza Puerta del Ángel nº 4
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pedro Rico,Calle Pedro Rico nº 4
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Camino Vinateros,Calle Camino de los Vinateros nº 28
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marroquina,Calle Camino de los Vinateros nº 108
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pavones,Calle Hacienda de Pavones nº 342
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Antonio López,Calle Eugenio Caxes frente al nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ermita Santo,Paseo de la Ermita del Santo nº 48
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Caramuel,Calle Caramuel nº 51
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Doctor Lozano,Calle Sierra Toledana nº 33
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Sierra Toledana,Camino de Valderribas nº 94
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Delfín,Calle San Delfín nº 9
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Concordia,Calle Arroyo del Olivar nº 6
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,C.D. Concepción,Calle Jose del Hierro nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Carlota O’Neill,Calle Carlota O'Neill nº 32
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Derechos Humanos,Calle Derechos Humanos nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,José María Pereda,Calle José María de Pereda nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Embajadores 191,Calle Sodio nº 1B
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Paseo Imperial,Paseo Imperial nº 20
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pablo Iglesias,Calle Francisco Balseiro nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,San Germán 5,Calle San Germán nº 5
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Francos Rodríguez,Calle Francos Rodríguez nº 62
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Avenida Brasilia,Avenida de Brasilia frente al nº 9
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Camilo José Cela,Avenida de Camilo José Cela nº 23
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Avenida Bruselas,Avenida Bruselas nº 56
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Cartagena,Calle Cartagena nº 34
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Hospital Clínico,Calle Isaac Peral nº 44
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Galileo,Calle Galileo nº 63
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Santa Engracia 87,Calle Santa Engracia nº 87
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Torre Cepsa,Calle Sinesio Delgado nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Manuel Caldeiro,Paseo de la Castellana nº 298
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Serrano 113,Calle Serrano nº 113B
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Corazón de María,Calle Santa Hortensia nº 31
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Chamartín,Calle Rodríguez Jaén nº 40
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Doctor Fleming,Calle Doctor Fleming nº 7
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pío XII,Avenida Pío XII nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,López Pozas,Calle General López Pozas nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria)
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Facultad Biología,Calle José Antonio Novais frente al nº 12
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Facultad Derecho,Avenida Complutense nº 23
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Zurbano,Calle Zurbano nº 90
