Place of interest,Tipo_Centro,Place address,BiciMAD station,Station location
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Casa Encendida,Ronda de Atocha nº 34
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Museo Reina Sofía,Calle Santa Isabel nº 57
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ronda de Atocha,Ronda de Atocha nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Santa Ana,Plaza de Santa Ana nº 10
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Lavapiés,Calle Valencia nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Barceló,Calle Barceló nº 7
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de San Ildefonso,Plaza de San Ildefonso
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza del Carmen ,Plaza del Carmen nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Augusto Figueroa,Calle Augusto Figueroa nº 33
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Juan Pujol,Calle Espíritu Santo nº 30
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de la Independencia,Plaza de la Independencia nº 6
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Narváez,Calle O'Donnell nº 28
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,O'Donnell,Calle O'Donnell nº 50
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ibiza,Calle Ibiza nº 62
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Antonio Maura,Calle Antonio Maura nº 15
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Almadén,Calle Almadén nº 28
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Espalter,Calle Espalter nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta del Ángel Caído,Avenida de Alfonso XII nº 54
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Doce de Octubre,Calle Doce de Octubre nº 28
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Sainz de Baranda,Calle Doctor Esquerdo nº 99
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de los Astros,Avenida de Nazaret nº 7
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta del Pacífico ,Avenida de Menéndez Pelayo nº 73
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Menéndez Pelayo,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Conde de Casal,Plaza del Conde de Casal nº 8
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pedro Bosch,Calle Cerro de la Plata nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta de Granada,Avenida de Menéndez Pelayo nº 38
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Atocha A,Paseo de la Infanta Isabel nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Atocha B,Paseo de la Infanta Isabel nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Cuesta de Moyano,Cuesta de Claudio Moyano
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Niño Jesús,Calle Doctor Esquerdo nº 161
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Pío Baroja,Calle Pío Baroja nº 10
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Valderribas,Calle Doctor Esquerdo nº 191
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Cibeles,Plaza Cibeles
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ayala,Calle Ayala nº 44
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Embajada de Italia,Calle Velázquez nº 75
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Conde Peñalver,Calle Ayala nº 102
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,General Pardiñas,Calle Goya nº 18
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Príncipe de Vergara,Calle Hermosilla nº 70
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Claudio Coello,Calle Claudio Coello nº 45
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Colón,Calle Goya nº 1
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Biblioteca Nacional,Paseo de Recoletos nº 20
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Villanueva,Calle Claudio Coello nº 109
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Castelló,Calle Alcalá nº 111
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Alcalá,Avenida de Menéndez Pelayo nº 3
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Plaza de Felipe II,Plaza de Felipe II
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Alcántara,Calle Alcántara nº 2
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Palacio de Deportes,Calle Goya nº 99
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Jorge Juan,Calle Jorge Juan nº 131
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Velázquez,Calle Alcalá nº 95
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Ortega y Gasset,Calle José Ortega y Gasset nº 4
Escuela infantil municipal Doña Francisquita,Escuelas Infantiles,Calle Cambados 1,Castellana,Paseo de la Castellana nº 4
